Sample Size,KN Value
10.0,2.036
11.0,2.088
12.0,2.134
13.0,2.175
14.0,2.213
15.0,2.247
16.0,2.279
17.0,2.309
18.0,2.335
19.0,2.361
20.0,2.385
21.0,2.408
22.0,2.429
23.0,2.448
24.0,2.467
25.0,2.486
26.0,2.502
27.0,2.519
28.0,2.534
29.0,2.549
30.0,2.563
31.0,2.577
32.0,2.591
33.0,2.604
34.0,2.616
35.0,2.628
36.0,2.639
37.0,2.65
38.0,2.661
39.0,2.671
40.0,2.682
41.0,2.692
42.0,2.7
43.0,2.71
44.0,2.719
45.0,2.727
46.0,2.736
47.0,2.744
48.0,2.753
49.0,2.76
50.0,2.768
51.0,2.775
52.0,2.783
53.0,2.79
54.0,2.798
55.0,2.804
56.0,2.811
57.0,2.818
58.0,2.824
59.0,2.831
60.0,2.837
61.0,2.842
62.0,2.849
63.0,2.854
64.0,2.86
65.0,2.866
66.0,2.871
67.0,2.877
68.0,2.883
69.0,2.888
70.0,2.893
71.0,2.897
72.0,2.903
73.0,2.908
74.0,2.912
75.0,2.917
76.0,2.922
77.0,2.927
78.0,2.931
79.0,2.935
80.0,2.94
81.0,2.945
82.0,2.949
83.0,2.953
84.0,2.957
85.0,2.961
86.0,2.966
87.0,2.97
88.0,2.973
89.0,2.977
90.0,2.981
91.0,2.984
92.0,2.989
93.0,2.993
94.0,2.996
95.0,3.0
96.0,3.003
97.0,3.006
98.0,3.011
99.0,3.014
100.0,3.017
101.0,3.021
102.0,3.024
103.0,3.027
104.0,3.03
105.0,3.033
106.0,3.037
107.0,3.04
108.0,3.043
109.0,3.046
110.0,3.049
111.0,3.052
112.0,3.055
113.0,3.058
114.0,3.061
115.0,3.064
116.0,3.067
117.0,3.07
118.0,3.073
119.0,3.075
120.0,3.078
121.0,3.081
122.0,3.083
123.0,3.086
124.0,3.089
125.0,3.092
126.0,3.095
127.0,3.097
128.0,3.1
129.0,3.102
130.0,3.104
131.0,3.107
132.0,3.109
133.0,3.112
134.0,3.114
135.0,3.116
136.0,3.119
137.0,3.122
138.0,3.124
139.0,3.126
140.0,3.129
141.0,3.131
142.0,3.133
143.0,3.135
144.0,3.138
145.0,3.14
146.0,3.142
147.0,3.144
148.0,3.146
149.0,3.148
